;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
257;258;165;208;380000;3.0;4.0;50.0;Waltrop Süd;Amprion;;23954;0.025;0.25;13.7;2.6;1610620.0
258;259;4;2;380000;6.0;4.0;50.0;Robert Frank - Landesbergen;transpower;;1268;0.0125;0.125;27.4;5.2;1630850.0
259;260;4;2;380000;3.0;4.0;50.0;Leitung 3004;transpower;3004;1106;0.025;0.25;13.7;2.6;1630851.0
260;261;4;2;380000;3.0;4.0;50.0;Leitung 3005;transpower;3005;903;0.025;0.25;13.7;2.6;1630852.0
261;262;119;163;380000;3.0;4.0;50.0;Oberzier Süd;Amprion;;20419;0.025;0.25;13.7;2.6;1632259.0
262;263;210;3;380000;3.0;4.0;50.0;Leitung 3013;TenneT;3013;1821;0.025;0.25;13.7;2.6;1633120.0
263;264;99;211;380000;3.0;4.0;;Bliestal Süd;Amprion;;20245;0.025;0.25;13.7;2.6;1636702.0
264;265;99;69;380000;3.0;4.0;50.0;Bürstadt Ltg;Amprion;;125479;0.025;0.25;13.7;2.6;1636703.0
265;266;212;99;380000;3.0;4.0;;Uchtelfangen Ost;Amprion;;48835;0.025;0.25;13.7;2.6;1636708.0
266;267;213;214;220000;3.0;1.0;50.0;Rheinau Ost;Amprion;;45094;0.16;0.64;5.75;0.65;1636720.0
267;268;69;215;220000;3.0;2.0;50.0;Anilin 1A;Amprion;;13611;0.08;0.32;11.5;1.3;1636721.0
268;269;69;496;380000;3.0;4.0;50.0;380 kV Soonwald West;Amprion;;123773;0.025;0.25;13.7;2.6;1636722.0
269;270;69;496;380000;3.0;4.0;50.0;380 kV Soonwald Ost;Amprion;;123793;0.025;0.25;13.7;2.6;1636723.0
270;271;69;215;220000;3.0;2.0;50.0;Anilin 2B;Amprion;;13609;0.08;0.32;11.5;1.3;1636726.0
271;272;216;69;380000;3.0;4.0;50.0;Kugelberg West;Amprion;;111279;0.025;0.25;13.7;2.6;1636729.0
272;273;216;69;380000;3.0;4.0;50.0;Kugelberg Ost;Amprion;;111271;0.025;0.25;13.7;2.6;1636730.0
273;274;213;214;220000;3.0;2.0;50.0;Rheinau West;Amprion;;45094;0.08;0.32;11.5;1.3;1636737.0
274;275;217;98;380000;3.0;4.0;50.0;546;50Hertz;546;7385;0.025;0.25;13.7;2.6;1636750.0
275;276;42;218;220000;3.0;2.0;50.0;275;50Hertz Transmission;275;41561;0.08;0.32;11.5;1.3;1636782.0
276;277;177;42;220000;3.0;2.0;50.0;276/317;50Hertz Transmission;"276;317";106680;0.08;0.32;11.5;1.3;1636783.0
277;278;219;209;380000;3.0;4.0;50.0;;TenneT;3018;45510;0.025;0.25;13.7;2.6;1636863.0
